relationship_id,source_entity_id,source_name,target_entity_id,target_name,relationship_type,connection_category,confidence,short_explanation,canon_status,continuity,source_ids,source_urls,source_verified,review_status,needs_review,notes
rel:seed:011,char:caitlyn,Caitlyn,char:vi,Vi,PARTNERS,DIRECT_CANON,DOCUMENTED,Caitlyn and Vi operate as partners in Piltover law enforcement.,CURRENT_CANON,MAIN_RUNETERRA,src:riot-bio:caitlyn|src:riot-bio:vi,https://www.leagueoflegends.com/en-us/champions/caitlyn/|https://www.leagueoflegends.com/en-us/champions/vi/,FALSE,PENDING,TRUE,Seed relationship. Verify exact wording against primary Riot narrative sources and official Wiki references before promotion to VERIFIED.
rel:seed:012,char:jinx,Jinx,char:vi,Vi,SISTERS,DIRECT_CANON,DOCUMENTED,Jinx and Vi are sisters whose relationship is central to Piltover and Zaun's modern conflict.,RECONCILIATION_PENDING,MAIN_RUNETERRA,src:riot-bio:jinx|src:riot-bio:vi,https://www.leagueoflegends.com/en-us/champions/jinx/|https://www.leagueoflegends.com/en-us/champions/vi/,FALSE,PENDING,TRUE,Seed relationship. Verify exact wording against primary Riot narrative sources and official Wiki references before promotion to VERIFIED.
rel:seed:013,char:darius,Darius,char:draven,Draven,BROTHERS,DIRECT_CANON,DOCUMENTED,Darius and Draven are brothers from Noxus.,CURRENT_CANON,MAIN_RUNETERRA,src:riot-bio:darius|src:riot-bio:draven,https://www.leagueoflegends.com/en-us/champions/darius/|https://www.leagueoflegends.com/en-us/champions/draven/,FALSE,PENDING,TRUE,Seed relationship. Verify exact wording against primary Riot narrative sources and official Wiki references before promotion to VERIFIED.
rel:seed:014,char:garen,Garen,char:lux,Lux,SIBLINGS,DIRECT_CANON,DOCUMENTED,Garen and Lux are siblings of House Crownguard.,CURRENT_CANON,MAIN_RUNETERRA,src:riot-bio:garen|src:riot-bio:lux,https://www.leagueoflegends.com/en-us/champions/garen/|https://www.leagueoflegends.com/en-us/champions/lux/,FALSE,PENDING,TRUE,Seed relationship. Verify exact wording against primary Riot narrative sources and official Wiki references before promotion to VERIFIED.
rel:seed:015,char:katarina,Katarina,char:cassiopeia,Cassiopeia,SISTERS,DIRECT_CANON,DOCUMENTED,Katarina and Cassiopeia are sisters of the Du Couteau family.,CURRENT_CANON,MAIN_RUNETERRA,src:riot-bio:katarina|src:riot-bio:cassiopeia,https://www.leagueoflegends.com/en-us/champions/katarina/|https://www.leagueoflegends.com/en-us/champions/cassiopeia/,FALSE,PENDING,TRUE,Seed relationship. Verify exact wording against primary Riot narrative sources and official Wiki references before promotion to VERIFIED.
rel:seed:016,char:kayle,Kayle,char:morgana,Morgana,SISTERS,DIRECT_CANON,DOCUMENTED,"Kayle and Morgana are twin sisters, daughters of a Targonian Aspect host.",CURRENT_CANON,MAIN_RUNETERRA,src:riot-bio:kayle|src:riot-bio:morgana,https://www.leagueoflegends.com/en-us/champions/kayle/|https://www.leagueoflegends.com/en-us/champions/morgana/,FALSE,PENDING,TRUE,Seed relationship. Verify exact wording against primary Riot narrative sources and official Wiki references before promotion to VERIFIED.
rel:seed:017,char:yasuo,Yasuo,char:yone,Yone,BROTHERS,DIRECT_CANON,DOCUMENTED,"Yasuo and Yone are brothers; Yasuo killed Yone in their duel, and Yone later returned.",CURRENT_CANON,MAIN_RUNETERRA,src:riot-bio:yasuo|src:riot-bio:yone,https://www.leagueoflegends.com/en-us/champions/yasuo/|https://www.leagueoflegends.com/en-us/champions/yone/,FALSE,PENDING,TRUE,Seed relationship. Verify exact wording against primary Riot narrative sources and official Wiki references before promotion to VERIFIED.
rel:seed:018,char:xayah,Xayah,char:rakan,Rakan,LOVERS,DIRECT_CANON,DOCUMENTED,Xayah and Rakan are romantic partners and rebel allies.,CURRENT_CANON,MAIN_RUNETERRA,src:riot-bio:xayah|src:riot-bio:rakan,https://www.leagueoflegends.com/en-us/champions/xayah/|https://www.leagueoflegends.com/en-us/champions/rakan/,FALSE,PENDING,TRUE,Seed relationship. Verify exact wording against primary Riot narrative sources and official Wiki references before promotion to VERIFIED.
rel:seed:019,char:lucian,Lucian,char:senna,Senna,SPOUSES,DIRECT_CANON,DOCUMENTED,Lucian and Senna are married Sentinels of Light.,CURRENT_CANON,MAIN_RUNETERRA,src:riot-bio:lucian|src:riot-bio:senna,https://www.leagueoflegends.com/en-us/champions/lucian/|https://www.leagueoflegends.com/en-us/champions/senna/,FALSE,PENDING,TRUE,Seed relationship. Verify exact wording against primary Riot narrative sources and official Wiki references before promotion to VERIFIED.
rel:seed:020,char:senna,Senna,char:thresh,Thresh,CAPTOR_VICTIM,DIRECT_CANON,DOCUMENTED,Thresh imprisoned Senna's soul in his lantern before Lucian freed her.,CURRENT_CANON,MAIN_RUNETERRA,src:riot-bio:senna|src:riot-bio:thresh,https://www.leagueoflegends.com/en-us/champions/senna/|https://www.leagueoflegends.com/en-us/champions/thresh/,FALSE,PENDING,TRUE,Seed relationship. Verify exact wording against primary Riot narrative sources and official Wiki references before promotion to VERIFIED.
rel:seed:021,char:lucian,Lucian,char:thresh,Thresh,ENEMIES,DIRECT_CANON,DOCUMENTED,Lucian hunted Thresh after Senna was taken into the lantern.,CURRENT_CANON,MAIN_RUNETERRA,src:riot-bio:lucian|src:riot-bio:thresh,https://www.leagueoflegends.com/en-us/champions/lucian/|https://www.leagueoflegends.com/en-us/champions/thresh/,FALSE,PENDING,TRUE,Seed relationship. Verify exact wording against primary Riot narrative sources and official Wiki references before promotion to VERIFIED.
rel:seed:022,char:viego,Viego,char:kalista,Kalista,FAMILY,DIRECT_CANON,DOCUMENTED,Kalista is Viego's niece and served Camavor before the Ruination.,CURRENT_CANON,MAIN_RUNETERRA,src:riot-bio:viego|src:riot-bio:kalista,https://www.leagueoflegends.com/en-us/champions/viego/|https://www.leagueoflegends.com/en-us/champions/kalista/,FALSE,PENDING,TRUE,Seed relationship. Verify exact wording against primary Riot narrative sources and official Wiki references before promotion to VERIFIED.
rel:seed:023,char:swain,Swain,char:darius,Darius,POLITICAL_ALLIES,DIRECT_CANON,DOCUMENTED,Swain and Darius are leading figures in Noxus's post-coup government.,CURRENT_CANON,MAIN_RUNETERRA,src:riot-bio:swain|src:riot-bio:darius,https://www.leagueoflegends.com/en-us/champions/swain/|https://www.leagueoflegends.com/en-us/champions/darius/,FALSE,PENDING,TRUE,Seed relationship. Verify exact wording against primary Riot narrative sources and official Wiki references before promotion to VERIFIED.
rel:seed:024,char:irelia,Irelia,char:swain,Swain,ENEMIES,DIRECT_CANON,DOCUMENTED,Irelia fought Swain during the Noxian invasion of Ionia and severed his arm.,CURRENT_CANON,MAIN_RUNETERRA,src:riot-bio:irelia|src:riot-bio:swain,https://www.leagueoflegends.com/en-us/champions/irelia/|https://www.leagueoflegends.com/en-us/champions/swain/,FALSE,PENDING,TRUE,Seed relationship. Verify exact wording against primary Riot narrative sources and official Wiki references before promotion to VERIFIED.
rel:seed:025,char:riven,Riven,char:yasuo,Yasuo,SHARED_EVENT,DIRECT_CANON,DOCUMENTED,"Riven's broken runic blade was involved in Elder Souma's death, the crime for which Yasuo was blamed.",CURRENT_CANON,MAIN_RUNETERRA,src:riot-bio:riven|src:riot-bio:yasuo,https://www.leagueoflegends.com/en-us/champions/riven/|https://www.leagueoflegends.com/en-us/champions/yasuo/,FALSE,PENDING,TRUE,Seed relationship. Verify exact wording against primary Riot narrative sources and official Wiki references before promotion to VERIFIED.
rel:seed:026,char:zed,Zed,char:shen,Shen,RIVALS,DIRECT_CANON,DOCUMENTED,Zed and Shen were once close students before Zed's break from the Kinkou made them rivals.,CURRENT_CANON,MAIN_RUNETERRA,src:riot-bio:zed|src:riot-bio:shen,https://www.leagueoflegends.com/en-us/champions/zed/|https://www.leagueoflegends.com/en-us/champions/shen/,FALSE,PENDING,TRUE,Seed relationship. Verify exact wording against primary Riot narrative sources and official Wiki references before promotion to VERIFIED.
rel:seed:027,char:zed,Zed,char:kayn,Kayn,MENTOR_STUDENT,DIRECT_CANON,DOCUMENTED,Zed is Kayn's master in the Order of Shadow.,CURRENT_CANON,MAIN_RUNETERRA,src:riot-bio:zed|src:riot-bio:kayn,https://www.leagueoflegends.com/en-us/champions/zed/|https://www.leagueoflegends.com/en-us/champions/kayn/,FALSE,PENDING,TRUE,Seed relationship. Verify exact wording against primary Riot narrative sources and official Wiki references before promotion to VERIFIED.
rel:seed:028,char:shen,Shen,char:kennen,Kennen,KINKOU_ALLIES,DIRECT_CANON,DOCUMENTED,Shen and Kennen serve the Kinkou Order.,CURRENT_CANON,MAIN_RUNETERRA,src:riot-bio:shen|src:riot-bio:kennen,https://www.leagueoflegends.com/en-us/champions/shen/|https://www.leagueoflegends.com/en-us/champions/kennen/,FALSE,PENDING,TRUE,Seed relationship. Verify exact wording against primary Riot narrative sources and official Wiki references before promotion to VERIFIED.
rel:seed:029,char:jhin,Jhin,char:shen,Shen,ENEMIES,DIRECT_CANON,DOCUMENTED,Shen helped hunt and capture Jhin before the virtuoso returned.,CURRENT_CANON,MAIN_RUNETERRA,src:riot-bio:jhin|src:riot-bio:shen,https://www.leagueoflegends.com/en-us/champions/jhin/|https://www.leagueoflegends.com/en-us/champions/shen/,FALSE,PENDING,TRUE,Seed relationship. Verify exact wording against primary Riot narrative sources and official Wiki references before promotion to VERIFIED.
rel:seed:030,char:jhin,Jhin,char:zed,Zed,ENEMIES,DIRECT_CANON,DOCUMENTED,Zed was involved with Shen in hunting Jhin.,CURRENT_CANON,MAIN_RUNETERRA,src:riot-bio:jhin|src:riot-bio:zed,https://www.leagueoflegends.com/en-us/champions/jhin/|https://www.leagueoflegends.com/en-us/champions/zed/,FALSE,PENDING,TRUE,Seed relationship. Verify exact wording against primary Riot narrative sources and official Wiki references before promotion to VERIFIED.
rel:seed:031,char:aatrox,Aatrox,char:varus,Varus,DARKIN,STRUCTURAL_LORE,STRONG,Aatrox and Varus are Darkin linked to the ancient wars of the fallen Ascended.,CURRENT_CANON,MAIN_RUNETERRA,src:riot-bio:aatrox|src:riot-bio:varus,https://www.leagueoflegends.com/en-us/champions/aatrox/|https://www.leagueoflegends.com/en-us/champions/varus/,FALSE,PENDING,TRUE,Seed relationship. Verify exact wording against primary Riot narrative sources and official Wiki references before promotion to VERIFIED.
rel:seed:032,char:aatrox,Aatrox,char:naafiri,Naafiri,DARKIN,STRUCTURAL_LORE,STRONG,Aatrox and Naafiri are Darkin whose existence stems from the fallen Ascended.,CURRENT_CANON,MAIN_RUNETERRA,src:riot-bio:aatrox|src:riot-bio:naafiri,https://www.leagueoflegends.com/en-us/champions/aatrox/|https://www.leagueoflegends.com/en-us/champions/naafiri/,FALSE,PENDING,TRUE,Seed relationship. Verify exact wording against primary Riot narrative sources and official Wiki references before promotion to VERIFIED.
rel:seed:033,char:kayn,Kayn,char:zed,Zed,MENTOR_STUDENT,DIRECT_CANON,DOCUMENTED,Kayn is Zed's most notable protégé.,CURRENT_CANON,MAIN_RUNETERRA,src:riot-bio:kayn|src:riot-bio:zed,https://www.leagueoflegends.com/en-us/champions/kayn/|https://www.leagueoflegends.com/en-us/champions/zed/,FALSE,PENDING,TRUE,Seed relationship. Verify exact wording against primary Riot narrative sources and official Wiki references before promotion to VERIFIED.
rel:seed:034,char:kayn,Kayn,entity:rhaast,Rhaast,HOST_ENTITY,DIRECT_CANON,DOCUMENTED,Kayn wields the Darkin scythe Rhaast and struggles against its possession.,CURRENT_CANON,MAIN_RUNETERRA,src:riot-bio:kayn,https://www.leagueoflegends.com/en-us/champions/kayn/,FALSE,PENDING,TRUE,Seed relationship. Verify exact wording against primary Riot narrative sources and official Wiki references before promotion to VERIFIED.
rel:seed:035,char:kai-sa,Kai'Sa,char:kassadin,Kassadin,FAMILY,DIRECT_CANON,STRONG,Kai'Sa is widely established as Kassadin's lost daughter within current Void lore.,CURRENT_CANON,MAIN_RUNETERRA,src:riot-bio:kai-sa|src:riot-bio:kassadin,https://www.leagueoflegends.com/en-us/champions/kai-sa/|https://www.leagueoflegends.com/en-us/champions/kassadin/,FALSE,PENDING,TRUE,Seed relationship. Verify exact wording against primary Riot narrative sources and official Wiki references before promotion to VERIFIED.
rel:seed:036,char:bel-veth,Bel'Veth,char:kai-sa,Kai'Sa,ADVERSARIES,DIRECT_CANON,DOCUMENTED,Bel'Veth directly confronts Kai'Sa and attempts to use her against the Watchers.,CURRENT_CANON,MAIN_RUNETERRA,src:riot-bio:bel-veth|src:riot-bio:kai-sa,https://www.leagueoflegends.com/en-us/champions/bel-veth/|https://www.leagueoflegends.com/en-us/champions/kai-sa/,FALSE,PENDING,TRUE,Seed relationship. Verify exact wording against primary Riot narrative sources and official Wiki references before promotion to VERIFIED.
rel:seed:037,char:leona,Leona,char:diana,Diana,RIVALS,DIRECT_CANON,DOCUMENTED,Leona and Diana share a personal history before becoming embodiments of opposing Targonian faiths.,CURRENT_CANON,MAIN_RUNETERRA,src:riot-bio:leona|src:riot-bio:diana,https://www.leagueoflegends.com/en-us/champions/leona/|https://www.leagueoflegends.com/en-us/champions/diana/,FALSE,PENDING,TRUE,Seed relationship. Verify exact wording against primary Riot narrative sources and official Wiki references before promotion to VERIFIED.
rel:seed:038,char:ornn,Ornn,char:volibear,Volibear,SIBLINGS,DIRECT_CANON,DOCUMENTED,Ornn and Volibear are Freljordian demigod siblings with a hostile history.,CURRENT_CANON,MAIN_RUNETERRA,src:riot-bio:ornn|src:riot-bio:volibear,https://www.leagueoflegends.com/en-us/champions/ornn/|https://www.leagueoflegends.com/en-us/champions/volibear/,FALSE,PENDING,TRUE,Seed relationship. Verify exact wording against primary Riot narrative sources and official Wiki references before promotion to VERIFIED.
rel:seed:039,char:ornn,Ornn,char:anivia,Anivia,SIBLINGS,DIRECT_CANON,STRONG,Ornn and Anivia belong to the same family of Freljordian demigods.,CURRENT_CANON,MAIN_RUNETERRA,src:riot-bio:ornn|src:riot-bio:anivia,https://www.leagueoflegends.com/en-us/champions/ornn/|https://www.leagueoflegends.com/en-us/champions/anivia/,FALSE,PENDING,TRUE,Seed relationship. Verify exact wording against primary Riot narrative sources and official Wiki references before promotion to VERIFIED.
rel:seed:040,char:volibear,Volibear,char:anivia,Anivia,SIBLINGS,DIRECT_CANON,STRONG,Volibear and Anivia are ancient Freljordian demigod siblings.,CURRENT_CANON,MAIN_RUNETERRA,src:riot-bio:volibear|src:riot-bio:anivia,https://www.leagueoflegends.com/en-us/champions/volibear/|https://www.leagueoflegends.com/en-us/champions/anivia/,FALSE,PENDING,TRUE,Seed relationship. Verify exact wording against primary Riot narrative sources and official Wiki references before promotion to VERIFIED.
rel:seed:041,char:lux,Lux,char:sylas,Sylas,CONFLICT,DIRECT_CANON,DOCUMENTED,Lux secretly helped imprisoned Sylas before his escape ignited the mage rebellion.,CURRENT_CANON,MAIN_RUNETERRA,src:riot-bio:lux|src:riot-bio:sylas,https://www.leagueoflegends.com/en-us/champions/lux/|https://www.leagueoflegends.com/en-us/champions/sylas/,FALSE,PENDING,TRUE,Seed relationship. Verify exact wording against primary Riot narrative sources and official Wiki references before promotion to VERIFIED.
rel:seed:042,char:jarvan-iv,Jarvan IV,char:shyvana,Shyvana,ALLIES,DIRECT_CANON,DOCUMENTED,Shyvana saved Jarvan and later served Demacia under his protection.,CURRENT_CANON,MAIN_RUNETERRA,src:riot-bio:jarvan-iv|src:riot-bio:shyvana,https://www.leagueoflegends.com/en-us/champions/jarvan-iv/|https://www.leagueoflegends.com/en-us/champions/shyvana/,FALSE,PENDING,TRUE,Seed relationship. Verify exact wording against primary Riot narrative sources and official Wiki references before promotion to VERIFIED.
rel:seed:043,char:shen,Shen,char:akali,Akali,MENTOR_STUDENT,DIRECT_CANON,DOCUMENTED,Shen trained Akali as a Kinkou disciple.,CURRENT_CANON,MAIN_RUNETERRA,src:riot-bio:shen|src:riot-bio:akali,https://www.leagueoflegends.com/en-us/champions/shen/|https://www.leagueoflegends.com/en-us/champions/akali/,FALSE,PENDING,TRUE,Seed relationship. Verify exact wording against primary Riot narrative sources and official Wiki references before promotion to VERIFIED.
rel:seed:044,char:miss-fortune,Miss Fortune,char:gangplank,Gangplank,RIVALS,DIRECT_CANON,DOCUMENTED,Miss Fortune destroyed Gangplank's ship and seized influence in Bilgewater after years of seeking revenge.,CURRENT_CANON,MAIN_RUNETERRA,src:riot-bio:miss-fortune|src:riot-bio:gangplank,https://www.leagueoflegends.com/en-us/champions/miss-fortune/|https://www.leagueoflegends.com/en-us/champions/gangplank/,FALSE,PENDING,TRUE,Seed relationship. Verify exact wording against primary Riot narrative sources and official Wiki references before promotion to VERIFIED.
rel:seed:045,char:graves,Graves,char:twisted-fate,Twisted Fate,PARTNERS,DIRECT_CANON,DOCUMENTED,Graves and Twisted Fate are long-time partners in crime despite periods of betrayal.,CURRENT_CANON,MAIN_RUNETERRA,src:riot-bio:graves|src:riot-bio:twisted-fate,https://www.leagueoflegends.com/en-us/champions/graves/|https://www.leagueoflegends.com/en-us/champions/twisted-fate/,FALSE,PENDING,TRUE,Seed relationship. Verify exact wording against primary Riot narrative sources and official Wiki references before promotion to VERIFIED.
rel:seed:046,char:illaoi,Illaoi,char:gangplank,Gangplank,FORMER_LOVERS,DIRECT_CANON,DOCUMENTED,Illaoi and Gangplank share a past romantic relationship.,CURRENT_CANON,MAIN_RUNETERRA,src:riot-bio:illaoi|src:riot-bio:gangplank,https://www.leagueoflegends.com/en-us/champions/illaoi/|https://www.leagueoflegends.com/en-us/champions/gangplank/,FALSE,PENDING,TRUE,Seed relationship. Verify exact wording against primary Riot narrative sources and official Wiki references before promotion to VERIFIED.
rel:seed:047,char:kalista,Kalista,char:hecarim,Hecarim,BETRAYAL,DIRECT_CANON,DOCUMENTED,Hecarim betrayed Kalista during the events leading to the Ruination.,CURRENT_CANON,MAIN_RUNETERRA,src:riot-bio:kalista|src:riot-bio:hecarim,https://www.leagueoflegends.com/en-us/champions/kalista/|https://www.leagueoflegends.com/en-us/champions/hecarim/,FALSE,PENDING,TRUE,Seed relationship. Verify exact wording against primary Riot narrative sources and official Wiki references before promotion to VERIFIED.
rel:seed:048,char:viego,Viego,char:hecarim,Hecarim,KING_COMMANDER,DIRECT_CANON,DOCUMENTED,Hecarim served Viego's military campaign and became one of the Ruination's central figures.,CURRENT_CANON,MAIN_RUNETERRA,src:riot-bio:viego|src:riot-bio:hecarim,https://www.leagueoflegends.com/en-us/champions/viego/|https://www.leagueoflegends.com/en-us/champions/hecarim/,FALSE,PENDING,TRUE,Seed relationship. Verify exact wording against primary Riot narrative sources and official Wiki references before promotion to VERIFIED.
rel:seed:049,char:viego,Viego,char:thresh,Thresh,ALLIES_THEN_RIVALS,DIRECT_CANON,DOCUMENTED,Thresh manipulated Viego's return before eventually pursuing his own power.,CURRENT_CANON,MAIN_RUNETERRA,src:riot-bio:viego|src:riot-bio:thresh,https://www.leagueoflegends.com/en-us/champions/viego/|https://www.leagueoflegends.com/en-us/champions/thresh/,FALSE,PENDING,TRUE,Seed relationship. Verify exact wording against primary Riot narrative sources and official Wiki references before promotion to VERIFIED.
rel:seed:050,char:viego,Viego,char:senna,Senna,ENEMIES,DIRECT_CANON,DOCUMENTED,Viego hunted the fragment of Isolde within Senna during the Ruination.,CURRENT_CANON,MAIN_RUNETERRA,src:riot-bio:viego|src:riot-bio:senna,https://www.leagueoflegends.com/en-us/champions/viego/|https://www.leagueoflegends.com/en-us/champions/senna/,FALSE,PENDING,TRUE,Seed relationship. Verify exact wording against primary Riot narrative sources and official Wiki references before promotion to VERIFIED.
rel:seed:051,char:viego,Viego,char:gwen,Gwen,ENEMIES,DIRECT_CANON,DOCUMENTED,Gwen opposed Viego and carries a connection to Isolde through her creation.,CURRENT_CANON,MAIN_RUNETERRA,src:riot-bio:viego|src:riot-bio:gwen,https://www.leagueoflegends.com/en-us/champions/viego/|https://www.leagueoflegends.com/en-us/champions/gwen/,FALSE,PENDING,TRUE,Seed relationship. Verify exact wording against primary Riot narrative sources and official Wiki references before promotion to VERIFIED.
rel:seed:052,char:morgana,Morgana,char:kayle,Kayle,SISTERS,DIRECT_CANON,DOCUMENTED,Morgana and Kayle are twin sisters whose conflict shaped early Demacia.,CURRENT_CANON,MAIN_RUNETERRA,src:riot-bio:morgana|src:riot-bio:kayle,https://www.leagueoflegends.com/en-us/champions/morgana/|https://www.leagueoflegends.com/en-us/champions/kayle/,FALSE,PENDING,TRUE,Seed relationship. Verify exact wording against primary Riot narrative sources and official Wiki references before promotion to VERIFIED.
rel:seed:053,char:diana,Diana,char:aphelios,Aphelios,LUNARI,STRUCTURAL_LORE,STRONG,Diana and Aphelios are central figures in the Lunari faith.,CURRENT_CANON,MAIN_RUNETERRA,src:riot-bio:diana|src:riot-bio:aphelios,https://www.leagueoflegends.com/en-us/champions/diana/|https://www.leagueoflegends.com/en-us/champions/aphelios/,FALSE,PENDING,TRUE,Seed relationship. Verify exact wording against primary Riot narrative sources and official Wiki references before promotion to VERIFIED.
rel:seed:054,char:aphelios,Aphelios,entity:alune,Alune,SIBLINGS,DIRECT_CANON,DOCUMENTED,Aphelios is guided by his twin sister Alune from the spirit realm.,CURRENT_CANON,MAIN_RUNETERRA,src:riot-bio:aphelios,https://www.leagueoflegends.com/en-us/champions/aphelios/,FALSE,PENDING,TRUE,Seed relationship. Verify exact wording against primary Riot narrative sources and official Wiki references before promotion to VERIFIED.
rel:seed:055,char:ryze,Ryze,char:brand,Brand,FORMER_MASTER_STUDENT,DIRECT_CANON,DOCUMENTED,"Ryze once travelled with Kegan Rodhe, who became Brand after taking a World Rune.",CURRENT_CANON,MAIN_RUNETERRA,src:riot-bio:ryze|src:riot-bio:brand,https://www.leagueoflegends.com/en-us/champions/ryze/|https://www.leagueoflegends.com/en-us/champions/brand/,FALSE,PENDING,TRUE,Seed relationship. Verify exact wording against primary Riot narrative sources and official Wiki references before promotion to VERIFIED.
rel:seed:056,char:vladimir,Vladimir,char:viego,Viego,FAMILY,DIRECT_CANON,DOCUMENTED,Vladimir is Viego's uncle from the royal family of Camavor.,CURRENT_CANON,MAIN_RUNETERRA,src:riot-bio:vladimir|src:riot-bio:viego,https://www.leagueoflegends.com/en-us/champions/vladimir/|https://www.leagueoflegends.com/en-us/champions/viego/,FALSE,PENDING,TRUE,Seed relationship. Verify exact wording against primary Riot narrative sources and official Wiki references before promotion to VERIFIED.
