entity_id,entity_name,entity_type,priority,issue_type,issue,missing_fields,candidate_source_urls,status,notes
char:ashe,Ashe,CHAMPION,MEDIUM,PROFILE_ENRICHMENT,Upgrade from indexed profile to source-backed lore-complete profile.,official_title|narrative_roles|species|status|aliases|full_original_summary|timeline|events|relationships|primary_sources,https://www.leagueoflegends.com/en-us/champions/ashe/|https://wiki.leagueoflegends.com/en-us/Universe%3AAshe,OPEN,Do not copy long source text. Extract facts and write original concise synthesis.
char:aurelion-sol,Aurelion Sol,CHAMPION,MEDIUM,PROFILE_ENRICHMENT,Upgrade from indexed profile to source-backed lore-complete profile.,official_title|narrative_roles|species|status|aliases|full_original_summary|timeline|events|relationships|primary_sources,https://www.leagueoflegends.com/en-us/champions/aurelion-sol/|https://wiki.leagueoflegends.com/en-us/Universe%3AAurelion_Sol,OPEN,Do not copy long source text. Extract facts and write original concise synthesis.
char:aurora,Aurora,CHAMPION,MEDIUM,PROFILE_ENRICHMENT,Upgrade from indexed profile to source-backed lore-complete profile.,official_title|narrative_roles|species|status|aliases|full_original_summary|timeline|events|relationships|primary_sources,https://www.leagueoflegends.com/en-us/champions/aurora/|https://wiki.leagueoflegends.com/en-us/Universe%3AAurora,OPEN,Do not copy long source text. Extract facts and write original concise synthesis.
char:azir,Azir,CHAMPION,MEDIUM,PROFILE_ENRICHMENT,Upgrade from indexed profile to source-backed lore-complete profile.,official_title|narrative_roles|species|status|aliases|full_original_summary|timeline|events|relationships|primary_sources,https://www.leagueoflegends.com/en-us/champions/azir/|https://wiki.leagueoflegends.com/en-us/Universe%3AAzir,OPEN,Do not copy long source text. Extract facts and write original concise synthesis.
char:bard,Bard,CHAMPION,MEDIUM,PROFILE_ENRICHMENT,Upgrade from indexed profile to source-backed lore-complete profile.,official_title|narrative_roles|species|status|aliases|full_original_summary|timeline|events|relationships|primary_sources,https://www.leagueoflegends.com/en-us/champions/bard/|https://wiki.leagueoflegends.com/en-us/Universe%3ABard,OPEN,Do not copy long source text. Extract facts and write original concise synthesis.
char:bel-veth,Bel'Veth,CHAMPION,MEDIUM,PROFILE_ENRICHMENT,Upgrade from indexed profile to source-backed lore-complete profile.,official_title|narrative_roles|species|status|aliases|full_original_summary|timeline|events|relationships|primary_sources,https://www.leagueoflegends.com/en-us/champions/bel-veth/|https://wiki.leagueoflegends.com/en-us/Universe%3ABel'Veth,OPEN,Do not copy long source text. Extract facts and write original concise synthesis.
char:blitzcrank,Blitzcrank,CHAMPION,MEDIUM,PROFILE_ENRICHMENT,Upgrade from indexed profile to source-backed lore-complete profile.,official_title|narrative_roles|species|status|aliases|full_original_summary|timeline|events|relationships|primary_sources,https://www.leagueoflegends.com/en-us/champions/blitzcrank/|https://wiki.leagueoflegends.com/en-us/Universe%3ABlitzcrank,OPEN,Do not copy long source text. Extract facts and write original concise synthesis.
char:brand,Brand,CHAMPION,MEDIUM,PROFILE_ENRICHMENT,Upgrade from indexed profile to source-backed lore-complete profile.,official_title|narrative_roles|species|status|aliases|full_original_summary|timeline|events|relationships|primary_sources,https://www.leagueoflegends.com/en-us/champions/brand/|https://wiki.leagueoflegends.com/en-us/Universe%3ABrand,OPEN,Do not copy long source text. Extract facts and write original concise synthesis.
char:braum,Braum,CHAMPION,MEDIUM,PROFILE_ENRICHMENT,Upgrade from indexed profile to source-backed lore-complete profile.,official_title|narrative_roles|species|status|aliases|full_original_summary|timeline|events|relationships|primary_sources,https://www.leagueoflegends.com/en-us/champions/braum/|https://wiki.leagueoflegends.com/en-us/Universe%3ABraum,OPEN,Do not copy long source text. Extract facts and write original concise synthesis.
char:briar,Briar,CHAMPION,MEDIUM,PROFILE_ENRICHMENT,Upgrade from indexed profile to source-backed lore-complete profile.,official_title|narrative_roles|species|status|aliases|full_original_summary|timeline|events|relationships|primary_sources,https://www.leagueoflegends.com/en-us/champions/briar/|https://wiki.leagueoflegends.com/en-us/Universe%3ABriar,OPEN,Do not copy long source text. Extract facts and write original concise synthesis.
char:caitlyn,Caitlyn,CHAMPION,MEDIUM,PROFILE_ENRICHMENT,Upgrade from indexed profile to source-backed lore-complete profile.,official_title|narrative_roles|species|status|aliases|full_original_summary|timeline|events|relationships|primary_sources,https://www.leagueoflegends.com/en-us/champions/caitlyn/|https://wiki.leagueoflegends.com/en-us/Universe%3ACaitlyn,OPEN,Do not copy long source text. Extract facts and write original concise synthesis.
char:camille,Camille,CHAMPION,MEDIUM,PROFILE_ENRICHMENT,Upgrade from indexed profile to source-backed lore-complete profile.,official_title|narrative_roles|species|status|aliases|full_original_summary|timeline|events|relationships|primary_sources,https://www.leagueoflegends.com/en-us/champions/camille/|https://wiki.leagueoflegends.com/en-us/Universe%3ACamille,OPEN,Do not copy long source text. Extract facts and write original concise synthesis.
char:cassiopeia,Cassiopeia,CHAMPION,MEDIUM,PROFILE_ENRICHMENT,Upgrade from indexed profile to source-backed lore-complete profile.,official_title|narrative_roles|species|status|aliases|full_original_summary|timeline|events|relationships|primary_sources,https://www.leagueoflegends.com/en-us/champions/cassiopeia/|https://wiki.leagueoflegends.com/en-us/Universe%3ACassiopeia,OPEN,Do not copy long source text. Extract facts and write original concise synthesis.
char:cho-gath,Cho'Gath,CHAMPION,MEDIUM,PROFILE_ENRICHMENT,Upgrade from indexed profile to source-backed lore-complete profile.,official_title|narrative_roles|species|status|aliases|full_original_summary|timeline|events|relationships|primary_sources,https://www.leagueoflegends.com/en-us/champions/cho-gath/|https://wiki.leagueoflegends.com/en-us/Universe%3ACho'Gath,OPEN,Do not copy long source text. Extract facts and write original concise synthesis.
char:corki,Corki,CHAMPION,MEDIUM,PROFILE_ENRICHMENT,Upgrade from indexed profile to source-backed lore-complete profile.,official_title|narrative_roles|species|status|aliases|full_original_summary|timeline|events|relationships|primary_sources,https://www.leagueoflegends.com/en-us/champions/corki/|https://wiki.leagueoflegends.com/en-us/Universe%3ACorki,OPEN,Do not copy long source text. Extract facts and write original concise synthesis.
char:darius,Darius,CHAMPION,MEDIUM,PROFILE_ENRICHMENT,Upgrade from indexed profile to source-backed lore-complete profile.,official_title|narrative_roles|species|status|aliases|full_original_summary|timeline|events|relationships|primary_sources,https://www.leagueoflegends.com/en-us/champions/darius/|https://wiki.leagueoflegends.com/en-us/Universe%3ADarius,OPEN,Do not copy long source text. Extract facts and write original concise synthesis.
char:diana,Diana,CHAMPION,MEDIUM,PROFILE_ENRICHMENT,Upgrade from indexed profile to source-backed lore-complete profile.,official_title|narrative_roles|species|status|aliases|full_original_summary|timeline|events|relationships|primary_sources,https://www.leagueoflegends.com/en-us/champions/diana/|https://wiki.leagueoflegends.com/en-us/Universe%3ADiana,OPEN,Do not copy long source text. Extract facts and write original concise synthesis.
char:dr-mundo,Dr. Mundo,CHAMPION,MEDIUM,PROFILE_ENRICHMENT,Upgrade from indexed profile to source-backed lore-complete profile.,official_title|narrative_roles|species|status|aliases|full_original_summary|timeline|events|relationships|primary_sources,https://www.leagueoflegends.com/en-us/champions/dr-mundo/|https://wiki.leagueoflegends.com/en-us/Universe%3ADr._Mundo,OPEN,Do not copy long source text. Extract facts and write original concise synthesis.
char:draven,Draven,CHAMPION,MEDIUM,PROFILE_ENRICHMENT,Upgrade from indexed profile to source-backed lore-complete profile.,official_title|narrative_roles|species|status|aliases|full_original_summary|timeline|events|relationships|primary_sources,https://www.leagueoflegends.com/en-us/champions/draven/|https://wiki.leagueoflegends.com/en-us/Universe%3ADraven,OPEN,Do not copy long source text. Extract facts and write original concise synthesis.
char:ekko,Ekko,CHAMPION,MEDIUM,PROFILE_ENRICHMENT,Upgrade from indexed profile to source-backed lore-complete profile.,official_title|narrative_roles|species|status|aliases|full_original_summary|timeline|events|relationships|primary_sources,https://www.leagueoflegends.com/en-us/champions/ekko/|https://wiki.leagueoflegends.com/en-us/Universe%3AEkko,OPEN,Do not copy long source text. Extract facts and write original concise synthesis.
char:elise,Elise,CHAMPION,MEDIUM,PROFILE_ENRICHMENT,Upgrade from indexed profile to source-backed lore-complete profile.,official_title|narrative_roles|species|status|aliases|full_original_summary|timeline|events|relationships|primary_sources,https://www.leagueoflegends.com/en-us/champions/elise/|https://wiki.leagueoflegends.com/en-us/Universe%3AElise,OPEN,Do not copy long source text. Extract facts and write original concise synthesis.
char:evelynn,Evelynn,CHAMPION,MEDIUM,PROFILE_ENRICHMENT,Upgrade from indexed profile to source-backed lore-complete profile.,official_title|narrative_roles|species|status|aliases|full_original_summary|timeline|events|relationships|primary_sources,https://www.leagueoflegends.com/en-us/champions/evelynn/|https://wiki.leagueoflegends.com/en-us/Universe%3AEvelynn,OPEN,Do not copy long source text. Extract facts and write original concise synthesis.
char:ezreal,Ezreal,CHAMPION,MEDIUM,PROFILE_ENRICHMENT,Upgrade from indexed profile to source-backed lore-complete profile.,official_title|narrative_roles|species|status|aliases|full_original_summary|timeline|events|relationships|primary_sources,https://www.leagueoflegends.com/en-us/champions/ezreal/|https://wiki.leagueoflegends.com/en-us/Universe%3AEzreal,OPEN,Do not copy long source text. Extract facts and write original concise synthesis.
char:fiddlesticks,Fiddlesticks,CHAMPION,MEDIUM,PROFILE_ENRICHMENT,Upgrade from indexed profile to source-backed lore-complete profile.,official_title|narrative_roles|species|status|aliases|full_original_summary|timeline|events|relationships|primary_sources,https://www.leagueoflegends.com/en-us/champions/fiddlesticks/|https://wiki.leagueoflegends.com/en-us/Universe%3AFiddlesticks,OPEN,Do not copy long source text. Extract facts and write original concise synthesis.
char:fiora,Fiora,CHAMPION,MEDIUM,PROFILE_ENRICHMENT,Upgrade from indexed profile to source-backed lore-complete profile.,official_title|narrative_roles|species|status|aliases|full_original_summary|timeline|events|relationships|primary_sources,https://www.leagueoflegends.com/en-us/champions/fiora/|https://wiki.leagueoflegends.com/en-us/Universe%3AFiora,OPEN,Do not copy long source text. Extract facts and write original concise synthesis.
char:fizz,Fizz,CHAMPION,MEDIUM,PROFILE_ENRICHMENT,Upgrade from indexed profile to source-backed lore-complete profile.,official_title|narrative_roles|species|status|aliases|full_original_summary|timeline|events|relationships|primary_sources,https://www.leagueoflegends.com/en-us/champions/fizz/|https://wiki.leagueoflegends.com/en-us/Universe%3AFizz,OPEN,Do not copy long source text. Extract facts and write original concise synthesis.
char:galio,Galio,CHAMPION,MEDIUM,PROFILE_ENRICHMENT,Upgrade from indexed profile to source-backed lore-complete profile.,official_title|narrative_roles|species|status|aliases|full_original_summary|timeline|events|relationships|primary_sources,https://www.leagueoflegends.com/en-us/champions/galio/|https://wiki.leagueoflegends.com/en-us/Universe%3AGalio,OPEN,Do not copy long source text. Extract facts and write original concise synthesis.
char:gangplank,Gangplank,CHAMPION,MEDIUM,PROFILE_ENRICHMENT,Upgrade from indexed profile to source-backed lore-complete profile.,official_title|narrative_roles|species|status|aliases|full_original_summary|timeline|events|relationships|primary_sources,https://www.leagueoflegends.com/en-us/champions/gangplank/|https://wiki.leagueoflegends.com/en-us/Universe%3AGangplank,OPEN,Do not copy long source text. Extract facts and write original concise synthesis.
char:garen,Garen,CHAMPION,MEDIUM,PROFILE_ENRICHMENT,Upgrade from indexed profile to source-backed lore-complete profile.,official_title|narrative_roles|species|status|aliases|full_original_summary|timeline|events|relationships|primary_sources,https://www.leagueoflegends.com/en-us/champions/garen/|https://wiki.leagueoflegends.com/en-us/Universe%3AGaren,OPEN,Do not copy long source text. Extract facts and write original concise synthesis.
char:gnar,Gnar,CHAMPION,MEDIUM,PROFILE_ENRICHMENT,Upgrade from indexed profile to source-backed lore-complete profile.,official_title|narrative_roles|species|status|aliases|full_original_summary|timeline|events|relationships|primary_sources,https://www.leagueoflegends.com/en-us/champions/gnar/|https://wiki.leagueoflegends.com/en-us/Universe%3AGnar,OPEN,Do not copy long source text. Extract facts and write original concise synthesis.
char:gragas,Gragas,CHAMPION,MEDIUM,PROFILE_ENRICHMENT,Upgrade from indexed profile to source-backed lore-complete profile.,official_title|narrative_roles|species|status|aliases|full_original_summary|timeline|events|relationships|primary_sources,https://www.leagueoflegends.com/en-us/champions/gragas/|https://wiki.leagueoflegends.com/en-us/Universe%3AGragas,OPEN,Do not copy long source text. Extract facts and write original concise synthesis.
char:graves,Graves,CHAMPION,MEDIUM,PROFILE_ENRICHMENT,Upgrade from indexed profile to source-backed lore-complete profile.,official_title|narrative_roles|species|status|aliases|full_original_summary|timeline|events|relationships|primary_sources,https://www.leagueoflegends.com/en-us/champions/graves/|https://wiki.leagueoflegends.com/en-us/Universe%3AGraves,OPEN,Do not copy long source text. Extract facts and write original concise synthesis.
char:gwen,Gwen,CHAMPION,MEDIUM,PROFILE_ENRICHMENT,Upgrade from indexed profile to source-backed lore-complete profile.,official_title|narrative_roles|species|status|aliases|full_original_summary|timeline|events|relationships|primary_sources,https://www.leagueoflegends.com/en-us/champions/gwen/|https://wiki.leagueoflegends.com/en-us/Universe%3AGwen,OPEN,Do not copy long source text. Extract facts and write original concise synthesis.
char:hecarim,Hecarim,CHAMPION,MEDIUM,PROFILE_ENRICHMENT,Upgrade from indexed profile to source-backed lore-complete profile.,official_title|narrative_roles|species|status|aliases|full_original_summary|timeline|events|relationships|primary_sources,https://www.leagueoflegends.com/en-us/champions/hecarim/|https://wiki.leagueoflegends.com/en-us/Universe%3AHecarim,OPEN,Do not copy long source text. Extract facts and write original concise synthesis.
char:heimerdinger,Heimerdinger,CHAMPION,MEDIUM,PROFILE_ENRICHMENT,Upgrade from indexed profile to source-backed lore-complete profile.,official_title|narrative_roles|species|status|aliases|full_original_summary|timeline|events|relationships|primary_sources,https://www.leagueoflegends.com/en-us/champions/heimerdinger/|https://wiki.leagueoflegends.com/en-us/Universe%3AHeimerdinger,OPEN,Do not copy long source text. Extract facts and write original concise synthesis.
char:hwei,Hwei,CHAMPION,MEDIUM,PROFILE_ENRICHMENT,Upgrade from indexed profile to source-backed lore-complete profile.,official_title|narrative_roles|species|status|aliases|full_original_summary|timeline|events|relationships|primary_sources,https://www.leagueoflegends.com/en-us/champions/hwei/|https://wiki.leagueoflegends.com/en-us/Universe%3AHwei,OPEN,Do not copy long source text. Extract facts and write original concise synthesis.
char:illaoi,Illaoi,CHAMPION,MEDIUM,PROFILE_ENRICHMENT,Upgrade from indexed profile to source-backed lore-complete profile.,official_title|narrative_roles|species|status|aliases|full_original_summary|timeline|events|relationships|primary_sources,https://www.leagueoflegends.com/en-us/champions/illaoi/|https://wiki.leagueoflegends.com/en-us/Universe%3AIllaoi,OPEN,Do not copy long source text. Extract facts and write original concise synthesis.
char:irelia,Irelia,CHAMPION,MEDIUM,PROFILE_ENRICHMENT,Upgrade from indexed profile to source-backed lore-complete profile.,official_title|narrative_roles|species|status|aliases|full_original_summary|timeline|events|relationships|primary_sources,https://www.leagueoflegends.com/en-us/champions/irelia/|https://wiki.leagueoflegends.com/en-us/Universe%3AIrelia,OPEN,Do not copy long source text. Extract facts and write original concise synthesis.
char:ivern,Ivern,CHAMPION,MEDIUM,PROFILE_ENRICHMENT,Upgrade from indexed profile to source-backed lore-complete profile.,official_title|narrative_roles|species|status|aliases|full_original_summary|timeline|events|relationships|primary_sources,https://www.leagueoflegends.com/en-us/champions/ivern/|https://wiki.leagueoflegends.com/en-us/Universe%3AIvern,OPEN,Do not copy long source text. Extract facts and write original concise synthesis.
char:janna,Janna,CHAMPION,MEDIUM,PROFILE_ENRICHMENT,Upgrade from indexed profile to source-backed lore-complete profile.,official_title|narrative_roles|species|status|aliases|full_original_summary|timeline|events|relationships|primary_sources,https://www.leagueoflegends.com/en-us/champions/janna/|https://wiki.leagueoflegends.com/en-us/Universe%3AJanna,OPEN,Do not copy long source text. Extract facts and write original concise synthesis.
char:jarvan-iv,Jarvan IV,CHAMPION,MEDIUM,PROFILE_ENRICHMENT,Upgrade from indexed profile to source-backed lore-complete profile.,official_title|narrative_roles|species|status|aliases|full_original_summary|timeline|events|relationships|primary_sources,https://www.leagueoflegends.com/en-us/champions/jarvan-iv/|https://wiki.leagueoflegends.com/en-us/Universe%3AJarvan_IV,OPEN,Do not copy long source text. Extract facts and write original concise synthesis.
char:jax,Jax,CHAMPION,MEDIUM,PROFILE_ENRICHMENT,Upgrade from indexed profile to source-backed lore-complete profile.,official_title|narrative_roles|species|status|aliases|full_original_summary|timeline|events|relationships|primary_sources,https://www.leagueoflegends.com/en-us/champions/jax/|https://wiki.leagueoflegends.com/en-us/Universe%3AJax,OPEN,Do not copy long source text. Extract facts and write original concise synthesis.
char:jayce,Jayce,CHAMPION,MEDIUM,PROFILE_ENRICHMENT,Upgrade from indexed profile to source-backed lore-complete profile.,official_title|narrative_roles|species|status|aliases|full_original_summary|timeline|events|relationships|primary_sources,https://www.leagueoflegends.com/en-us/champions/jayce/|https://wiki.leagueoflegends.com/en-us/Universe%3AJayce,OPEN,Do not copy long source text. Extract facts and write original concise synthesis.
char:jhin,Jhin,CHAMPION,MEDIUM,PROFILE_ENRICHMENT,Upgrade from indexed profile to source-backed lore-complete profile.,official_title|narrative_roles|species|status|aliases|full_original_summary|timeline|events|relationships|primary_sources,https://www.leagueoflegends.com/en-us/champions/jhin/|https://wiki.leagueoflegends.com/en-us/Universe%3AJhin,OPEN,Do not copy long source text. Extract facts and write original concise synthesis.
char:jinx,Jinx,CHAMPION,MEDIUM,PROFILE_ENRICHMENT,Upgrade from indexed profile to source-backed lore-complete profile.,official_title|narrative_roles|species|status|aliases|full_original_summary|timeline|events|relationships|primary_sources,https://www.leagueoflegends.com/en-us/champions/jinx/|https://wiki.leagueoflegends.com/en-us/Universe%3AJinx,OPEN,Do not copy long source text. Extract facts and write original concise synthesis.
char:k-sante,K'Sante,CHAMPION,MEDIUM,PROFILE_ENRICHMENT,Upgrade from indexed profile to source-backed lore-complete profile.,official_title|narrative_roles|species|status|aliases|full_original_summary|timeline|events|relationships|primary_sources,https://www.leagueoflegends.com/en-us/champions/k-sante/|https://wiki.leagueoflegends.com/en-us/Universe%3AK'Sante,OPEN,Do not copy long source text. Extract facts and write original concise synthesis.
char:kai-sa,Kai'Sa,CHAMPION,HIGH,PROFILE_ENRICHMENT,Upgrade from indexed profile to source-backed lore-complete profile.,official_title|narrative_roles|species|status|aliases|full_original_summary|timeline|events|relationships|primary_sources,https://www.leagueoflegends.com/en-us/champions/kai-sa/|https://wiki.leagueoflegends.com/en-us/Universe%3AKai'Sa,OPEN,Do not copy long source text. Extract facts and write original concise synthesis.
char:kalista,Kalista,CHAMPION,MEDIUM,PROFILE_ENRICHMENT,Upgrade from indexed profile to source-backed lore-complete profile.,official_title|narrative_roles|species|status|aliases|full_original_summary|timeline|events|relationships|primary_sources,https://www.leagueoflegends.com/en-us/champions/kalista/|https://wiki.leagueoflegends.com/en-us/Universe%3AKalista,OPEN,Do not copy long source text. Extract facts and write original concise synthesis.
char:karma,Karma,CHAMPION,MEDIUM,PROFILE_ENRICHMENT,Upgrade from indexed profile to source-backed lore-complete profile.,official_title|narrative_roles|species|status|aliases|full_original_summary|timeline|events|relationships|primary_sources,https://www.leagueoflegends.com/en-us/champions/karma/|https://wiki.leagueoflegends.com/en-us/Universe%3AKarma,OPEN,Do not copy long source text. Extract facts and write original concise synthesis.
char:karthus,Karthus,CHAMPION,MEDIUM,PROFILE_ENRICHMENT,Upgrade from indexed profile to source-backed lore-complete profile.,official_title|narrative_roles|species|status|aliases|full_original_summary|timeline|events|relationships|primary_sources,https://www.leagueoflegends.com/en-us/champions/karthus/|https://wiki.leagueoflegends.com/en-us/Universe%3AKarthus,OPEN,Do not copy long source text. Extract facts and write original concise synthesis.
char:kassadin,Kassadin,CHAMPION,MEDIUM,PROFILE_ENRICHMENT,Upgrade from indexed profile to source-backed lore-complete profile.,official_title|narrative_roles|species|status|aliases|full_original_summary|timeline|events|relationships|primary_sources,https://www.leagueoflegends.com/en-us/champions/kassadin/|https://wiki.leagueoflegends.com/en-us/Universe%3AKassadin,OPEN,Do not copy long source text. Extract facts and write original concise synthesis.
char:katarina,Katarina,CHAMPION,MEDIUM,PROFILE_ENRICHMENT,Upgrade from indexed profile to source-backed lore-complete profile.,official_title|narrative_roles|species|status|aliases|full_original_summary|timeline|events|relationships|primary_sources,https://www.leagueoflegends.com/en-us/champions/katarina/|https://wiki.leagueoflegends.com/en-us/Universe%3AKatarina,OPEN,Do not copy long source text. Extract facts and write original concise synthesis.
char:kayle,Kayle,CHAMPION,MEDIUM,PROFILE_ENRICHMENT,Upgrade from indexed profile to source-backed lore-complete profile.,official_title|narrative_roles|species|status|aliases|full_original_summary|timeline|events|relationships|primary_sources,https://www.leagueoflegends.com/en-us/champions/kayle/|https://wiki.leagueoflegends.com/en-us/Universe%3AKayle,OPEN,Do not copy long source text. Extract facts and write original concise synthesis.
char:kayn,Kayn,CHAMPION,MEDIUM,PROFILE_ENRICHMENT,Upgrade from indexed profile to source-backed lore-complete profile.,official_title|narrative_roles|species|status|aliases|full_original_summary|timeline|events|relationships|primary_sources,https://www.leagueoflegends.com/en-us/champions/kayn/|https://wiki.leagueoflegends.com/en-us/Universe%3AKayn,OPEN,Do not copy long source text. Extract facts and write original concise synthesis.
char:kennen,Kennen,CHAMPION,MEDIUM,PROFILE_ENRICHMENT,Upgrade from indexed profile to source-backed lore-complete profile.,official_title|narrative_roles|species|status|aliases|full_original_summary|timeline|events|relationships|primary_sources,https://www.leagueoflegends.com/en-us/champions/kennen/|https://wiki.leagueoflegends.com/en-us/Universe%3AKennen,OPEN,Do not copy long source text. Extract facts and write original concise synthesis.
char:kha-zix,Kha'Zix,CHAMPION,MEDIUM,PROFILE_ENRICHMENT,Upgrade from indexed profile to source-backed lore-complete profile.,official_title|narrative_roles|species|status|aliases|full_original_summary|timeline|events|relationships|primary_sources,https://www.leagueoflegends.com/en-us/champions/kha-zix/|https://wiki.leagueoflegends.com/en-us/Universe%3AKha'Zix,OPEN,Do not copy long source text. Extract facts and write original concise synthesis.
char:kindred,Kindred,CHAMPION,MEDIUM,PROFILE_ENRICHMENT,Upgrade from indexed profile to source-backed lore-complete profile.,official_title|narrative_roles|species|status|aliases|full_original_summary|timeline|events|relationships|primary_sources,https://www.leagueoflegends.com/en-us/champions/kindred/|https://wiki.leagueoflegends.com/en-us/Universe%3AKindred,OPEN,Do not copy long source text. Extract facts and write original concise synthesis.
char:kled,Kled,CHAMPION,MEDIUM,PROFILE_ENRICHMENT,Upgrade from indexed profile to source-backed lore-complete profile.,official_title|narrative_roles|species|status|aliases|full_original_summary|timeline|events|relationships|primary_sources,https://www.leagueoflegends.com/en-us/champions/kled/|https://wiki.leagueoflegends.com/en-us/Universe%3AKled,OPEN,Do not copy long source text. Extract facts and write original concise synthesis.
char:kog-maw,Kog'Maw,CHAMPION,MEDIUM,PROFILE_ENRICHMENT,Upgrade from indexed profile to source-backed lore-complete profile.,official_title|narrative_roles|species|status|aliases|full_original_summary|timeline|events|relationships|primary_sources,https://www.leagueoflegends.com/en-us/champions/kog-maw/|https://wiki.leagueoflegends.com/en-us/Universe%3AKog'Maw,OPEN,Do not copy long source text. Extract facts and write original concise synthesis.
char:leblanc,LeBlanc,CHAMPION,MEDIUM,PROFILE_ENRICHMENT,Upgrade from indexed profile to source-backed lore-complete profile.,official_title|narrative_roles|species|status|aliases|full_original_summary|timeline|events|relationships|primary_sources,https://www.leagueoflegends.com/en-us/champions/leblanc/|https://wiki.leagueoflegends.com/en-us/Universe%3ALeBlanc,OPEN,Do not copy long source text. Extract facts and write original concise synthesis.
char:lee-sin,Lee Sin,CHAMPION,MEDIUM,PROFILE_ENRICHMENT,Upgrade from indexed profile to source-backed lore-complete profile.,official_title|narrative_roles|species|status|aliases|full_original_summary|timeline|events|relationships|primary_sources,https://www.leagueoflegends.com/en-us/champions/lee-sin/|https://wiki.leagueoflegends.com/en-us/Universe%3ALee_Sin,OPEN,Do not copy long source text. Extract facts and write original concise synthesis.
